subject,model,acc,f1,roc_auc,mcc
Subject00,LogReg,0.8260869565217391,0.663003663003663,0.935064935064935,0.4711552981879444
Subject00,RF,0.8260869565217391,0.663003663003663,0.9974025974025974,0.4711552981879444
Subject01,LogReg,0.6739130434782609,0.6456086286594761,0.6493506493506495,0.3814882103344266
Subject01,RF,0.5652173913043478,0.4025974025974026,0.37012987012987014,-0.19480519480519481
Subject02,LogReg,0.2391304347826087,0.19298245614035087,0.7636363636363638,0.0
Subject02,RF,0.2608695652173913,0.2242063492063492,0.17662337662337663,-0.5093607377513965
Subject03,LogReg,0.717391304347826,0.4177215189873418,0.7532467532467533,-0.11952286093343936
Subject03,RF,0.7608695652173914,0.43209876543209874,0.7935064935064935,0.0
Subject04,LogReg,0.4318181818181818,0.30158730158730157,0.30303030303030304,-0.39440531887330776
Subject04,RF,0.7272727272727273,0.42105263157894735,0.30303030303030304,-0.08804509063256238
Subject05,LogReg,0.9130434782608695,0.8618618618618619,0.9922077922077922,0.7557086549031783
Subject05,RF,0.5217391304347826,0.43526785714285715,0.39870129870129867,-0.11247144002016786
Subject06,LogReg,0.9130434782608695,0.8927738927738929,0.9948051948051948,0.8059303999253344
Subject06,RF,0.5217391304347826,0.34285714285714286,0.4792207792207792,-0.3142857142857143
Subject07,LogReg,0.5652173913043478,0.5619047619047619,0.8415584415584415,0.3899663225445167
Subject07,RF,0.8043478260869565,0.6752941176470588,0.7636363636363637,0.3881915000262637
Subject08,LogReg,0.7608695652173914,0.43209876543209874,0.8363636363636364,0.0
Subject08,RF,0.7608695652173914,0.43209876543209874,0.8246753246753248,0.0
Subject09,LogReg,0.6956521739130435,0.6645833333333333,0.7298701298701299,0.4070437336615963
Subject09,RF,0.8260869565217391,0.6973684210526316,0.8948051948051948,0.4591794198635512
Subject10,LogReg,0.19148936170212766,0.19112318840579712,0.08333333333333334,-0.44934508110248844
Subject10,RF,0.2978723404255319,0.22950819672131148,0.04292929292929293,-0.5185449728701348
Subject11,LogReg,0.2391304347826087,0.19298245614035087,0.9402597402597402,0.0
Subject11,RF,0.6956521739130435,0.41025641025641024,0.6155844155844157,-0.1480773794304968
