fold,test_subject,eval_unit,subject,condition,file_path,prob,target,win_acc,win_f1,win_auc,win_mcc,file_acc,file_f1,file_auc,file_mcc
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.49149876832962036,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.32571151852607727,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.08690118044614792,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.08393464982509613,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.11439216136932373,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.15192796289920807,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.24798047542572021,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.16944600641727448,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.17085833847522736,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.20732253789901733,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.190486341714859,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.26554083824157715,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.5689329504966736,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.31158193945884705,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.046224698424339294,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.15300624072551727,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.3167499005794525,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.16786876320838928,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.1889016181230545,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.20554359257221222,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.18029703199863434,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.17316654324531555,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.09417641907930374,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.04527601599693298,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.05606105923652649,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.05260654538869858,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.12330113351345062,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.36654984951019287,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.1577487736940384,0,,,,,,,,
1,Subject00,file,Subject00,tensor(1),data/derivatives/10s_windows\Subject00_1.npz,0.09327796846628189,0,,,,,,,,
