fold,test_subject,acc,f1,mcc,roc_auc,test_loss
1,Subject00,0.5869565217391305,0.24,-0.038525706426470976,0.5246753246753246,0.6897386312484741
2,Subject01,0.6521739130434783,0.2727272727272727,0.04415584415584416,0.5896103896103897,0.60267174243927
3,Subject02,0.45652173913043476,0.07407407407407407,-0.30240736837950305,0.2545454545454545,1.2349010705947876
4,Subject03,0.4782608695652174,0.2,-0.159760459659995,0.38701298701298703,0.8659825921058655
5,Subject04,0.6590909090909091,0.0,-0.18257418583505536,0.5702479338842974,0.5894975662231445
6,Subject05,0.7608695652173914,0.26666666666666666,0.18873664545023325,0.6467532467532467,0.6129212975502014
7,Subject06,0.6956521739130435,0.4166666666666667,0.21407218495721234,0.6935064935064935,0.6331091523170471
8,Subject07,0.6086956521739131,0.35714285714285715,0.09869942695647384,0.5792207792207792,0.8007034063339233
9,Subject08,0.6956521739130435,0.2222222222222222,0.04626787683080683,0.6623376623376623,0.6038650274276733
10,Subject09,0.6304347826086957,0.19047619047619047,-0.048349377841522816,0.4415584415584416,0.8988043665885925
11,Subject10,0.6170212765957447,0.18181818181818182,-0.06818181818181818,0.6111111111111112,0.6369977593421936
12,Subject11,0.7608695652173914,0.47619047619047616,0.3223291856101521,0.7844155844155845,0.4426255524158478
13,Subject12,0.782608695652174,0.5454545454545454,0.4025974025974026,0.6077922077922078,0.6729617714881897
14,Subject13,0.6956521739130435,0.2222222222222222,0.04626787683080683,0.5792207792207792,0.5665901303291321
15,Subject14,0.7391304347826086,0.5384615384615384,0.37105886448175224,0.6909090909090909,0.6022574305534363
16,Subject15,0.6956521739130435,0.125,-0.03203577347885241,0.7038961038961039,0.6162236332893372
17,Subject16,0.6304347826086957,0.19047619047619047,-0.048349377841522816,0.4649350649350649,0.6827520132064819
18,Subject17,0.7608695652173914,0.47619047619047616,0.3223291856101521,0.7350649350649351,0.5080195665359497
19,Subject18,0.7608695652173914,0.15384615384615385,0.13038857556375202,0.37922077922077924,0.63189697265625
20,Subject19,0.6304347826086957,0.19047619047619047,-0.048349377841522816,0.5506493506493506,0.7212095260620117
21,Subject20,0.5869565217391305,0.09523809523809523,-0.17190889899208114,0.4675324675324676,0.6784381866455078
22,Subject21,0.6739130434782609,0.0,-0.17300859166271382,0.42337662337662335,0.6776722073554993
23,Subject22,0.6521739130434783,0.2,-0.01954994583625188,0.5948051948051949,0.595099925994873
24,Subject23,0.7391304347826086,0.14285714285714285,0.058333513108983596,0.7064935064935065,0.5861057639122009
25,Subject24,0.7608695652173914,0.26666666666666666,0.18873664545023325,0.548051948051948,0.6685604453086853
26,Subject25,0.5652173913043478,0.09090909090909091,-0.19480519480519481,0.36363636363636365,0.8180753588676453
27,Subject26,0.5869565217391305,0.09523809523809523,-0.17190889899208114,0.4207792207792208,0.9760909080505371
28,Subject27,0.6521739130434783,0.3333333333333333,0.10088459291087018,0.5168831168831169,0.7745553255081177
29,Subject28,0.6086956521739131,0.3076923076923077,0.04490521289906556,0.5376623376623377,0.7778204083442688
30,Subject29,0.6304347826086957,0.10526315789473684,-0.12276713866067022,0.5324675324675325,0.896686315536499
31,Subject30,0.8043478260869565,0.47058823529411764,0.3881915000262637,0.5974025974025974,0.7098260521888733
32,Subject31,0.6923076923076923,0.42857142857142855,0.42174116783664994,0.7212121212121212,0.7530336380004883
33,Subject32,0.717391304347826,0.0,-0.11952286093343936,0.6181818181818182,0.673582911491394
34,Subject33,0.7608695652173914,0.0,0.0,0.6415584415584416,0.5343635082244873
35,Subject34,0.6739130434782609,0.0,-0.17300859166271382,0.36623376623376624,0.7581356167793274
36,Subject35,0.7608695652173914,0.0,0.0,0.6025974025974026,0.5536103248596191
