subject,model,acc,f1,roc_auc,mcc
Subject00,LogReg,0.7975206611570248,0.6566779582500941,0.8492890136762974,0.3825050850128742
Subject00,RF,0.78099173553719,0.56259591446987,0.9047640612263382,0.3098117329243929
Subject01,LogReg,0.6446280991735537,0.628781392694064,0.7679558011049723,0.38158837561802017
Subject01,RF,0.7355371900826446,0.4655624568668047,0.6306041119463817,0.036784922567701
Subject02,LogReg,0.25206611570247933,0.20132013201320131,0.7185943302237117,0.0
Subject02,RF,0.5785123966942148,0.4348901098901099,0.42382936328231136,-0.13014824683215806
Subject03,LogReg,0.71900826446281,0.4576137112722478,0.7085408930350512,-0.011686411658443106
Subject03,RF,0.7520661157024794,0.44503898486469956,0.7655556561905625,0.1109598468505051
Subject04,LogReg,0.45652173913043476,0.3201863280603438,0.3441652924628965,-0.35935528978736286
Subject04,RF,0.7086956521739131,0.42881500426257463,0.40382190319138617,-0.06029620175306502
Subject05,LogReg,0.7975206611570248,0.7135956331666787,0.8433112942668237,0.43242952059460205
Subject05,RF,0.7479338842975206,0.528957528957529,0.6070555203333031,0.15193324624896126
Subject06,LogReg,0.731404958677686,0.7156286721504113,0.968843401865773,0.547272369464236
Subject06,RF,0.7892561983471075,0.6605890603085554,0.8170908432207227,0.363375377604645
Subject07,LogReg,0.45867768595041325,0.45792794487286903,0.746309211122181,0.28053363759641387
Subject07,RF,0.6363636363636364,0.4685035439752421,0.624128249252785,-0.05731119762947064
Subject08,LogReg,0.7231404958677686,0.521922453191803,0.6970383117471244,0.093942072943755
Subject08,RF,0.7520661157024794,0.5214238628872775,0.7488904990489992,0.15715607319786926
Subject09,LogReg,0.7851239669421488,0.7506341154090045,0.8399601485372702,0.5316938239705414
Subject09,RF,0.756198347107438,0.5444015444015444,0.7517435014944298,0.19023308540755357
Subject10,LogReg,0.25,0.2373015873015873,0.17980187604102746,-0.44723973152917196
Subject10,RF,0.6290322580645161,0.39621043717582305,0.3645568510563689,-0.1961926751877361
Subject11,LogReg,0.34297520661157027,0.32545623477026103,0.8780907526492165,0.18358011182740774
Subject11,RF,0.7768595041322314,0.6491623711340206,0.6699121456389819,0.3295009992696774
Subject12,LogReg,0.32231404958677684,0.3221288515406162,0.34109229236482197,-0.12631890690159214
Subject12,RF,0.6528925619834711,0.5538974719101124,0.5983153699846028,0.10871990619152426
Subject13,LogReg,0.17768595041322313,0.15800332196870356,0.09564351055158046,-0.4760257981939855
Subject13,RF,0.4214876033057851,0.30800653594771243,0.18653201702744315,-0.3793401662856498
Subject14,LogReg,0.4669421487603306,0.4642985842985843,0.6714065754913504,0.13564119496854443
Subject14,RF,0.6859504132231405,0.48133107727016355,0.4022733448057241,-0.009081723132867365
Subject15,LogReg,0.78099173553719,0.5907335907335907,0.8904990489991848,0.3051326028833305
Subject15,RF,0.7727272727272727,0.5351842151213551,0.7730278054524047,0.2652712480488963
Subject16,LogReg,0.6611570247933884,0.6460473744292237,0.9011864867312743,0.41978667423210947
Subject16,RF,0.8057851239669421,0.6764613852936994,0.8194004166289285,0.41481549531538386
Subject17,LogReg,0.2975206611570248,0.2661957762557078,0.7163300425686079,0.12668231255231208
Subject17,RF,0.5826446280991735,0.38580223646186707,0.4301693687166018,-0.22431563353174694
Subject18,LogReg,0.7355371900826446,0.6493071279775382,0.7897835341001721,0.2986142559550765
Subject18,RF,0.7231404958677686,0.47142624286878565,0.6785164387283761,0.019203005444900778
Subject19,LogReg,0.8842975206611571,0.8637387387387387,0.9717416900643058,0.7550424875637956
Subject19,RF,0.7933884297520661,0.6398809523809523,0.8852006158862422,0.36352923054275404
Subject20,LogReg,0.6446280991735537,0.6141638857990359,0.7266551942758809,0.29598633387700973
Subject20,RF,0.7355371900826446,0.4895187870797627,0.6236753917217643,0.07273483076971307
Subject21,LogReg,0.5371900826446281,0.392831541218638,0.38782718956616247,-0.2142784918152392
Subject21,RF,0.7024793388429752,0.42570863546473303,0.2916855357304592,-0.09610765408659928
Subject22,LogReg,0.7933884297520661,0.7058823529411764,0.8339824291277964,0.4179734269425822
Subject22,RF,0.743801652892562,0.45614035087719296,0.8128339824291279,0.04948683181866707
Subject23,LogReg,0.743801652892562,0.46959841628959276,0.7858889593333938,0.07015910371099478
Subject23,RF,0.7479338842975206,0.4434264600535384,0.6845847296440539,0.05212624277774531
Subject24,LogReg,0.8471074380165289,0.8219278881530536,0.9027262023367448,0.6756784796503142
Subject24,RF,0.756198347107438,0.5241142552411425,0.7477583552214473,0.17426746994910083
Subject25,LogReg,0.7272727272727273,0.47356624917600526,0.32270627660538,0.03052420955563498
Subject25,RF,0.743801652892562,0.4265402843601896,0.35436101802372977,-0.03739530750210393
Subject26,LogReg,0.7603305785123967,0.5657178217821782,0.8129698396884342,0.2197483099393497
Subject26,RF,0.7066115702479339,0.4517374517374517,0.5337831718141473,-0.03956594954400033
Subject27,LogReg,0.7975206611570248,0.7747126436781608,0.9295353681731727,0.6110529678391359
Subject27,RF,0.768595041322314,0.5888848440723213,0.743863780454669,0.2605366634029529
Subject28,LogReg,0.7851239669421488,0.6106435643564356,0.9032696313739698,0.32589420016953463
Subject28,RF,0.7520661157024794,0.45982142857142855,0.739606919663074,0.10698002937762457
Subject29,LogReg,0.7603305785123967,0.5567765567765568,0.9118739244633638,0.2128150098090539
Subject29,RF,0.756198347107438,0.47574811823021845,0.9189385019472874,0.14867034837766355
Subject30,LogReg,0.8016528925619835,0.6606287250204511,0.876551037043746,0.3970621446935341
Subject30,RF,0.7520661157024794,0.44503898486469956,0.8052712616610814,0.1109598468505051
Subject31,LogReg,0.6285714285714286,0.6266666666666667,0.7578335754305872,0.3059715730140653
Subject31,RF,0.5714285714285714,0.49652361543994245,0.5592446565677526,0.07925462735466132
Subject32,LogReg,0.8842975206611571,0.8568289384719405,0.9361470881260756,0.7222175736672362
Subject32,RF,0.8140495867768595,0.659634317862166,0.8939407662349425,0.4520295959774248
Subject33,LogReg,0.8347107438016529,0.7401202749140894,0.9200253600217372,0.5189053741467842
Subject33,RF,0.7727272727272727,0.5460900999215633,0.890589620505389,0.2619964016949904
Subject34,LogReg,0.640495867768595,0.5951387419956541,0.675482293270537,0.22793215240640363
Subject34,RF,0.7066115702479339,0.5025333680766669,0.5547051897473053,0.044447802043328676
Subject35,LogReg,0.28512396694214875,0.24910770334499147,0.9752739788062676,0.10734027284233945
Subject35,RF,0.7479338842975206,0.6067556408002344,0.7189566162485281,0.2387067421703065
