fold,test_subject,eval_unit,subject,window_idx,prob,target
1,Subject00,window,Subject00,tensor(0),0.45489561557769775,0
1,Subject00,window,Subject00,tensor(1),0.021691838279366493,0
1,Subject00,window,Subject00,tensor(2),0.1682031750679016,0
1,Subject00,window,Subject00,tensor(3),0.045022398233413696,0
1,Subject00,window,Subject00,tensor(4),0.39191368222236633,0
1,Subject00,window,Subject00,tensor(5),0.3504319489002228,0
1,Subject00,window,Subject00,tensor(6),0.13965585827827454,0
1,Subject00,window,Subject00,tensor(7),0.1815667748451233,0
1,Subject00,window,Subject00,tensor(8),0.4156401455402374,0
1,Subject00,window,Subject00,tensor(9),0.09627729654312134,0
1,Subject00,window,Subject00,tensor(10),0.3328920006752014,0
1,Subject00,window,Subject00,tensor(11),0.4409467577934265,0
1,Subject00,window,Subject00,tensor(12),0.05968700721859932,0
1,Subject00,window,Subject00,tensor(13),0.15398578345775604,0
1,Subject00,window,Subject00,tensor(14),0.04835744947195053,0
1,Subject00,window,Subject00,tensor(15),0.03488623723387718,0
1,Subject00,window,Subject00,tensor(16),0.0853782370686531,0
1,Subject00,window,Subject00,tensor(17),0.06625096499919891,0
1,Subject00,window,Subject00,tensor(18),0.48969948291778564,0
1,Subject00,window,Subject00,tensor(19),0.046872347593307495,0
1,Subject00,window,Subject00,tensor(20),0.0811052992939949,0
1,Subject00,window,Subject00,tensor(21),0.18349671363830566,0
1,Subject00,window,Subject00,tensor(22),0.18897618353366852,0
1,Subject00,window,Subject00,tensor(23),0.3798827826976776,0
1,Subject00,window,Subject00,tensor(24),0.36425086855888367,0
1,Subject00,window,Subject00,tensor(25),0.2019631713628769,0
1,Subject00,window,Subject00,tensor(26),0.048319488763809204,0
1,Subject00,window,Subject00,tensor(27),0.5381263494491577,0
1,Subject00,window,Subject00,tensor(28),0.04048542678356171,0
1,Subject00,window,Subject00,tensor(29),0.05056652054190636,0
1,Subject00,window,Subject00,tensor(30),0.1391877382993698,0
1,Subject00,window,Subject00,tensor(31),0.39503100514411926,0
1,Subject00,window,Subject00,tensor(32),0.34202840924263,0
1,Subject00,window,Subject00,tensor(33),0.14364579319953918,0
1,Subject00,window,Subject00,tensor(34),0.044398605823516846,0
1,Subject00,window,Subject00,tensor(35),0.2735145390033722,0
1,Subject00,window,Subject00,tensor(36),0.1436225324869156,1
